日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,涨跌幅,换手率
2025-06-30,002371.SZ,433.97,442.21,448.5,433.0,53764,2386027918.0,-0.2458831491089608,
2025-07-01,002371.SZ,442.6,443.3,446.0,440.11,25935,1151139697.0,1.4137994143484711,
2025-07-02,002371.SZ,444.8,437.12,444.99,435.33,29661,1300351171.0,33.19925648292043,
2025-07-03,002371.SZ,325.6,328.17,328.99,320.22,40671,1325363604.0,-2.0826495598985417,
2025-07-04,002371.SZ,326.99,335.15,341.51,326.01,72858,2435754119.0,0.7424552122159422,
2025-07-07,002371.SZ,337.3,332.68,337.98,331.8,37392,1251226364.0,-0.3862622391232806,
2025-07-08,002371.SZ,334.1,333.97,334.83,330.02,38760,1290041124.0,0.8515778348180625,
2025-07-09,002371.SZ,333.0,331.15,340.5,331.0,43889,1467527246.0,0.40020616681319954,
2025-07-10,002371.SZ,330.99,329.83,332.0,324.0,45895,1503491144.0,-0.3022700480609375,
2025-07-11,002371.SZ,330.0,330.83,332.26,327.6,37333,1233345451.0,2.048181621888401,
2025-07-14,002371.SZ,330.0,324.19,330.45,323.8,38761,1262181589.0,0.2690832611654148,
2025-07-15,002371.SZ,324.02,323.32,327.27,322.04,41226,1336035967.0,0.766689521909858,
2025-07-16,002371.SZ,322.5,320.86,325.36,320.6,35953,1158400393.0,0.7093534212178287,
2025-07-17,002371.SZ,320.0,318.6,321.0,314.33,62914,1994848541.0,-2.0265075801838894,
2025-07-18,002371.SZ,320.0,325.19,330.33,320.0,81166,2640128074.0,1.6059990626464682,
2025-07-21,002371.SZ,324.8,320.05,324.8,318.0,59914,1916211404.0,-0.6487862420065715,
2025-07-22,002371.SZ,318.71,322.14,322.29,315.5,71052,2264875032.0,-2.8235294117647136,
2025-07-23,002371.SZ,322.37,331.5,334.55,319.8,119131,3925520266.0,-2.111324376199608,
2025-07-24,002371.SZ,331.44,338.65,339.08,330.5,72085,2427450272.0,-0.9679494677740097,
2025-07-25,002371.SZ,338.0,341.96,341.96,333.6,62366,2104629927.0000002,-0.49177942674232256,
2025-07-28,002371.SZ,341.96,343.65,344.36,337.18,55965,1915727513.0,-0.33063603932830254,
2025-07-29,002371.SZ,341.96,344.79,345.36,335.0,73159,2504453916.0,-1.2628865979381398,
2025-07-30,002371.SZ,343.99,349.2,355.6,342.16,85627,2995457527.0,4.17661097852029,
2025-07-31,002371.SZ,349.19,335.2,350.0,334.16,93437,3174856343.0,1.637355973317156,
2025-08-01,002371.SZ,334.0,329.8,335.88,327.2,55443,1834605664.0,0.4691403156035001,
2025-08-04,002371.SZ,328.11,328.26,331.88,325.81,46331,1520892066.0,-0.07305936073059849,
2025-08-05,002371.SZ,329.24,328.5,331.7,325.5,49294,1620486785.0,-0.9288859400446325,
2025-08-06,002371.SZ,328.85,331.58,332.0,326.3,49329,1622348260.0,-0.38753867876348824,
2025-08-07,002371.SZ,333.0,332.87,335.92,329.18,57115,1901302494.0,1.1486219575192358,
2025-08-08,002371.SZ,332.0,329.09,333.95,328.75,36308,1200523377.0,0.7315580042852821,
2025-08-11,002371.SZ,328.0,326.7,329.44,326.0,47224,1546101254.0,-1.6704288939051959,
2025-08-12,002371.SZ,327.0,332.25,334.41,325.99,70731,2340166575.0,0.28372219371586294,
2025-08-13,002371.SZ,333.18,331.31,334.16,329.16,58260,1929394334.0,-3.0293274015102845,
2025-08-14,002371.SZ,332.36,341.66,349.5,332.36,128315,4399512083.0,-0.10817764523578521,
2025-08-15,002371.SZ,341.0,342.03,343.69,334.89,74409,2527229221.0,-1.4947295662692373,
2025-08-18,002371.SZ,343.67,347.22,349.5,339.39,87378,3016123969.0,2.1355453582774686,
2025-08-19,002371.SZ,346.9,339.96,346.9,339.7,67809,2321505357.0,-3.0043653171274554,
2025-08-20,002371.SZ,337.72,350.49,351.86,335.16,93680,3217084494.0,-2.9059781705357612,
2025-08-21,002371.SZ,350.49,360.98,368.0,348.5,158872,5722309188.0,-5.847678664580059,
2025-08-22,002371.SZ,360.8,383.4,389.03,360.62,188994,7166056652.0,0.873500315722997,
2025-08-25,002371.SZ,394.28,380.08,402.57,374.79,195662,7528268363.0,-0.7624020887728511,
2025-08-26,002371.SZ,378.0,383.0,388.48,373.12,116875,4453880074.0,2.5435073627844806,
2025-08-27,002371.SZ,380.0,373.5,389.11,373.12,145678,5576008346.0,-5.902804020860097,
2025-08-28,002371.SZ,372.5,396.93,398.22,372.01,179219,6917787836.0,6.558389261744968,
2025-08-29,002371.SZ,380.0,372.5,381.59,362.0,241985,8973457004.0,-1.4132966334956532,
2025-09-01,002371.SZ,377.0,377.84,380.24,367.1,156270,5851831763.0,-0.1770098544292109,
2025-09-02,002371.SZ,377.0,378.51,387.86,372.0,167751,6387709150.0,1.3603620491122737,
2025-09-03,002371.SZ,378.51,373.43,378.96,369.46,95694,3579813417.0,6.4054708647955705,
2025-09-04,002371.SZ,371.0,350.95,371.7,345.0,144363,5148558944.0,-1.7717196596506946,
2025-09-05,002371.SZ,350.95,357.28,358.8,346.0,98061,3445576657.0,-3.542116630669545,
2025-09-08,002371.SZ,355.0,370.4,371.0,353.02,110252,4006504304.0,1.8449778657647853,
2025-09-09,002371.SZ,368.8,363.69,371.8,358.08,88825,3234164665.0,-1.2248777838131386,
2025-09-10,002371.SZ,363.79,368.2,370.26,363.79,78342,2883617470.0,-2.448071216617209,
2025-09-11,002371.SZ,366.1,377.44,381.6,364.8,116268,4356039496.0,0.10608953957138567,
2025-09-12,002371.SZ,377.45,377.04,383.5,375.28,76863,2913922991.0,-0.7789473684210457,
2025-09-15,002371.SZ,382.41,380.0,383.04,376.01,71171,2702886089.0,0.5663473244058581,
2025-09-16,002371.SZ,378.08,377.86,382.96,376.38,76006,2883481467.0,-2.961041629214922,
2025-09-17,002371.SZ,374.0,389.39,395.0,369.55,128259,4936736952.0,-4.491047338729459,
2025-09-18,002371.SZ,391.78,407.7,427.9,389.91,181018,7400832443.0,1.4179104477611837,
2025-09-19,002371.SZ,408.2,402.0,413.02,400.99,102377,4148206722.0,-2.592682335837171,
2025-09-22,002371.SZ,401.54,412.7,418.8,398.25,103310,4230370235.0000005,-1.456542502387781,
2025-09-23,002371.SZ,417.67,418.8,422.05,405.0,99393,4102849098.0,-9.090909090909093,
2025-09-24,002371.SZ,422.0,460.68,460.68,419.79,187053,8298813538.0,1.5496528160476197,
2025-09-25,002371.SZ,469.33,453.65,469.33,442.02,174734,7924529592.0,0.18772084805653844,
2025-09-26,002371.SZ,451.0,452.8,462.0,448.4,109475,4986231608.0,-1.350762527233118,
2025-09-29,002371.SZ,450.8,459.0,459.0,439.05,126631,5691643317.0,1.467857458661248,
2025-09-30,002371.SZ,457.96,452.36,463.39,450.0,121454,5547344069.0,-1.2422224647964164,
2025-10-09,002371.SZ,457.0,458.05,473.66,452.81,170387,7896071555.0,4.60150719342316,
2025-10-10,002371.SZ,449.97,437.9,454.44,432.0,143861,6378588881.0,0.4818724185406076,
2025-10-13,002371.SZ,424.0,435.8,442.72,422.01,100473,4370946370.0,8.407960199004982,
2025-10-14,002371.SZ,441.15,402.0,442.72,398.0,161220,6694611632.0,-2.517095882438525,
2025-10-15,002371.SZ,405.5,412.38,413.55,395.54,108559,4401461163.0,0.4115025931968219,
2025-10-16,002371.SZ,412.0,410.69,418.78,407.34,67135,2769361327.0,2.8190170993666053,
2025-10-17,002371.SZ,408.0,399.43,409.8,398.08,72357,2912106841.0,-0.18242702918832565,
2025-10-20,002371.SZ,406.0,400.16,411.0,398.23,77460,3129711487.0,-2.039217606306143,
2025-10-21,002371.SZ,402.72,408.49,410.93,401.2,75398,3070526731.0,1.0138727466060038,
2025-10-22,002371.SZ,405.0,404.39,407.68,400.0,57612,2323529327.0,0.2007037018682878,
2025-10-23,002371.SZ,401.28,403.58,404.88,396.52,47542,1901674774.0,-2.704918032786896,
2025-10-24,002371.SZ,406.02,414.8,417.6,406.0,89560,3698285803.0,-3.332556513633189,
2025-10-27,002371.SZ,422.3,429.1,433.47,418.63,112345,4785159728.0,0.7276995305164347,
2025-10-28,002371.SZ,427.0,426.0,432.97,423.52,72910,3124556589.0,0.5618242764741987,
2025-10-29,002371.SZ,425.98,423.62,427.25,418.05,64986,2741001165.0,1.9542719614921822,
2025-10-30,002371.SZ,423.0,415.5,423.62,415.0,73012,3053149211.0,2.0759120501166795,
2025-10-31,002371.SZ,415.6,407.05,420.23,404.0,75113,3074611951.0,1.508728179551122,
2025-11-03,002371.SZ,406.2,401.0,407.0,390.03,83428,3311247295.0,-1.092667044865947,
2025-11-04,002371.SZ,401.0,405.43,410.46,397.8,77904,3161194010.0,2.1671748607716257,
2025-11-05,002371.SZ,397.0,396.83,404.89,394.0,54771,2174887197.0,-3.4476885644768918,
2025-11-06,002371.SZ,399.0,411.0,413.57,399.0,77330,3153474538.0,-0.6646525679758319,
